"","h_Fstate","","","","",""
"","0","1","2","3","4","Total"
"","b/t","b/t","b/t","b/t","b/t","b/t"
"0","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000"
"",".",".",".",".",".","."
"1","0.0000","0.9280","0.0561","0.0159","0.0000","1.0000"
"",".","51.2903","3.4969","1.7911",".","."
"2","0.0000","0.0000","0.6140","0.3860","0.0000","1.0000"
"",".",".","27.7395","17.4420",".","."
"3","0.0000","0.0603","0.0407","0.8976","0.0014","1.0000"
"",".","12.7401","10.5915","150.2938","2.2114","."
"4","0.0000","0.0000","0.0834","0.2813","0.6353","1.0000"
"",".",".","1.1485","2.3773","4.9188","."
"Total","0.0000","0.1074","0.1194","0.7701","0.0030","1.0000"
"",".","19.6704","22.0069","106.0807","3.5299","."
"N","9308","","","","",""
