"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b/t","b/t","b/t","b/t","b/t"
"1","0.9766","0.0187","0.0004","0.0042","1.0000"
"","265.4256","5.7432","1.0000","2.5169","."
"2","0.0000","0.4344","0.5572","0.0085","1.0000"
"",".","10.1201","12.9384","1.0045","."
"3","0.1023","0.0601","0.8316","0.0060","1.0000"
"","7.2872","5.5602","48.5072","2.1261","."
"4","0.0117","0.0154","0.0291","0.9438","1.0000"
"","1.0606","1.1877","1.7947","40.9602","."
"Total","0.7181","0.0475","0.1932","0.0412","1.0000"
"","78.8009","11.3465","23.9041","10.9219","."
"N","3383","","","",""
